ID	Day	ID	Type	Sites	Sites2	Day2	Treatment	Treatment1	Treatment2	Treatment3	Treatment4	Type2	Type3	Group	Treatment_R1	Treatment_R2	Treatment_R3	Day_order
D14.07R	14	D14.07R	cDNA	D14(10kPa+N)	D14(10kPa+N)_	14	Urea_10kPa	Urea	10kPa	LM+N	8. LM+N (16S rRNA)	cDNA	DNA_cDNA	LM		Urea_10kPa		3
D14.08R	14	D14.08R	cDNA	D14(10kPa+N)	D14(10kPa+N)_	14	Urea_10kPa	Urea	10kPa	LM+N	8. LM+N (16S rRNA)	cDNA	DNA_cDNA	LM			Urea_10kPa	3
D21.01R	21	D21.01R	cDNA	D21(1.0kPa+N)	D21(1.0kPa+N)_	21	Urea_1.0kPa	Urea	1.0kPa	HM+N	6. HM+N (16S rRNA)	cDNA	DNA_cDNA	HM	Urea_1.0kPa			4
D21.02R	21	D21.02R	cDNA	D21(1.0kPa+N)	D21(1.0kPa+N)_	21	Urea_1.0kPa	Urea	1.0kPa	HM+N	6. HM+N (16S rRNA)	cDNA	DNA_cDNA	HM		Urea_1.0kPa		4
D21.04R	21	D21.04R	cDNA	D21(1.0kPa+N)	D21(1.0kPa+N)_	21	Urea_1.0kPa	Urea	1.0kPa	HM+N	6. HM+N (16S rRNA)	cDNA	DNA_cDNA	HM			Urea_1.0kPa	4
D21.08R	21	D21.08R	cDNA	D21(10kPa+N)	D21(10kPa+N)_	21	Urea_10kPa	Urea	10kPa	LM+N	8. LM+N (16S rRNA)	cDNA	DNA_cDNA	LM	Urea_10kPa	Urea_10kPa	Urea_10kPa	4
D21.09R	21	D21.09R	cDNA	D21(1.0kPa-N)	D21(1.0kPa-N)_	21	No_Urea_1.0kPa	No Urea	1.0kPa	HM-N	5. HM-N (16S rRNA)	cDNA	DNA_cDNA	HM	No_Urea_1.0kPa			4
D21.10R	21	D21.10R	cDNA	D21(1.0kPa-N)	D21(1.0kPa-N)_	21	No_Urea_1.0kPa	No Urea	1.0kPa	HM-N	5. HM-N (16S rRNA)	cDNA	DNA_cDNA	HM		No_Urea_1.0kPa		4
D21.11R	21	D21.11R	cDNA	D21(1.0kPa-N)	D21(1.0kPa-N)_	21	No_Urea_1.0kPa	No Urea	1.0kPa	HM-N	5. HM-N (16S rRNA)	cDNA	DNA_cDNA	HM			No_Urea_1.0kPa	4
D21.16R	21	D21.16R	cDNA	D21(10kPa-N)	D21(10kPa-N)_	21	No_Urea_10kPa	No Urea	10kPa	LM-N	7. LM-N (16S rRNA)	cDNA	DNA_cDNA	LM	No_Urea_10kPa	No_Urea_10kPa	No_Urea_10kPa	4
D35.01R	35	D35.01R	cDNA	D35(1.0kPa+N)	D35(1.0kPa+N)_	35	Urea_1.0kPa	Urea	1.0kPa	HM+N	6. HM+N (16S rRNA)	cDNA	DNA_cDNA	HM	Urea_1.0kPa			5
D35.02R	35	D35.02R	cDNA	D35(1.0kPa+N)	D35(1.0kPa+N)_	35	Urea_1.0kPa	Urea	1.0kPa	HM+N	6. HM+N (16S rRNA)	cDNA	DNA_cDNA	HM		Urea_1.0kPa		5
D35.03R	35	D35.03R	cDNA	D35(1.0kPa+N)	D35(1.0kPa+N)_	35	Urea_1.0kPa	Urea	1.0kPa	HM+N	6. HM+N (16S rRNA)	cDNA	DNA_cDNA	HM			Urea_1.0kPa	5
D35.05R	35	D35.05R	cDNA	D35(10kPa+N)	D35(10kPa+N)_	35	Urea_10kPa	Urea	10kPa	LM+N	8. LM+N (16S rRNA)	cDNA	DNA_cDNA	LM	Urea_10kPa			5
D35.06R	35	D35.06R	cDNA	D35(10kPa+N)	D35(10kPa+N)_	35	Urea_10kPa	Urea	10kPa	LM+N	8. LM+N (16S rRNA)	cDNA	DNA_cDNA	LM		Urea_10kPa		5
D35.07R	35	D35.07R	cDNA	D35(10kPa+N)	D35(10kPa+N)_	35	Urea_10kPa	Urea	10kPa	LM+N	8. LM+N (16S rRNA)	cDNA	DNA_cDNA	LM			Urea_10kPa	5
D63.01R	63	D63.01R	cDNA	D63(1.0kPa+N)	D63(1.0kPa+N)_	63	Urea_1.0kPa	Urea	1.0kPa	HM+N	6. HM+N (16S rRNA)	cDNA	DNA_cDNA	HM	Urea_1.0kPa			6
D63.02R	63	D63.02R	cDNA	D63(1.0kPa+N)	D63(1.0kPa+N)_	63	Urea_1.0kPa	Urea	1.0kPa	HM+N	6. HM+N (16S rRNA)	cDNA	DNA_cDNA	HM		Urea_1.0kPa		6
D63.03R	63	D63.03R	cDNA	D63(1.0kPa+N)	D63(1.0kPa+N)_	63	Urea_1.0kPa	Urea	1.0kPa	HM+N	6. HM+N (16S rRNA)	cDNA	DNA_cDNA	HM			Urea_1.0kPa	6
D63.05R	63	D63.05R	cDNA	D63(10kPa+N)	D63(10kPa+N)_	63	Urea_10kPa	Urea	10kPa	LM+N	8. LM+N (16S rRNA)	cDNA	DNA_cDNA	LM	Urea_10kPa			6
D63.06R	63	D63.06R	cDNA	D63(10kPa+N)	D63(10kPa+N)_	63	Urea_10kPa	Urea	10kPa	LM+N	8. LM+N (16S rRNA)	cDNA	DNA_cDNA	LM		Urea_10kPa		6
D63.07R	63	D63.07R	cDNA	D63(10kPa+N)	D63(10kPa+N)_	63	Urea_10kPa	Urea	10kPa	LM+N	8. LM+N (16S rRNA)	cDNA	DNA_cDNA	LM			Urea_10kPa	6
D63.09R	63	D63.09R	cDNA	D63(1.0kPa-N)	D63(1.0kPa-N)_	63	No_Urea_1.0kPa	No Urea	1.0kPa	HM-N	5. HM-N (16S rRNA)	cDNA	DNA_cDNA	HM	No_Urea_1.0kPa			6
D63.10R	63	D63.10R	cDNA	D63(1.0kPa-N)	D63(1.0kPa-N)_	63	No_Urea_1.0kPa	No Urea	1.0kPa	HM-N	5. HM-N (16S rRNA)	cDNA	DNA_cDNA	HM		No_Urea_1.0kPa		6
D63.11R	63	D63.11R	cDNA	D63(1.0kPa-N)	D63(1.0kPa-N)_	63	No_Urea_1.0kPa	No Urea	1.0kPa	HM-N	5. HM-N (16S rRNA)	cDNA	DNA_cDNA	HM			No_Urea_1.0kPa	6
D63.13R	63	D63.13R	cDNA	D63(10kPa-N)	D63(10kPa-N)_	63	No_Urea_10kPa	No Urea	10kPa	LM-N	7. LM-N (16S rRNA)	cDNA	DNA_cDNA	LM	No_Urea_10kPa			6
D63.14R	63	D63.14R	cDNA	D63(10kPa-N)	D63(10kPa-N)_	63	No_Urea_10kPa	No Urea	10kPa	LM-N	7. LM-N (16S rRNA)	cDNA	DNA_cDNA	LM		No_Urea_10kPa		6
D63.15R	63	D63.15R	cDNA	D63(10kPa-N)	D63(10kPa-N)_	63	No_Urea_10kPa	No Urea	10kPa	LM-N	7. LM-N (16S rRNA)	cDNA	DNA_cDNA	LM			No_Urea_10kPa	6
C1	Field sample	C1	DNA	C			Field sample											
C2	Field sample	C2	DNA	C			Field sample											
C3	Field sample	C3	DNA	C			Field sample											
