OTU,Sample,Abundance,ID,Day,Type,Sites,Treatment,Treatment1,Treatment2,Group,Domain,Phylum,Class,Order,Family,Genus,Species,taxa_OTU,order_OTU
JX240842.1.1483,D0.02,4,D0.02,0,DNA,D0(1.0kPa+N),Urea_1.0kPa,With urea,1.0kPa,,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Planococcaceae,D_5__Sporosarcina,D_6__Sporosarcina saromensis,JX240842.1.1483,01: g_Sporosarcina 
JX240842.1.1483,D0.05,4,D0.05,0,DNA,D0(10kPa+N),Urea_10kPa,With urea,10kPa,,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Planococcaceae,D_5__Sporosarcina,D_6__Sporosarcina saromensis,JX240842.1.1483,01: g_Sporosarcina 
JX240842.1.1483,D0.08,2,D0.08,0,DNA,D0(10kPa+N),Urea_10kPa,With urea,10kPa,,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Planococcaceae,D_5__Sporosarcina,D_6__Sporosarcina saromensis,JX240842.1.1483,01: g_Sporosarcina 
JX240842.1.1483,D0.01,2,D0.01,0,DNA,D0(1.0kPa+N),Urea_1.0kPa,With urea,1.0kPa,,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Planococcaceae,D_5__Sporosarcina,D_6__Sporosarcina saromensis,JX240842.1.1483,01: g_Sporosarcina 
JX240842.1.1483,D0.07,2,D0.07,0,DNA,D0(10kPa+N),Urea_10kPa,With urea,10kPa,,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Planococcaceae,D_5__Sporosarcina,D_6__Sporosarcina saromensis,JX240842.1.1483,01: g_Sporosarcina 
JX240842.1.1483,D0.03,1,D0.03,0,DNA,D0(1.0kPa+N),Urea_1.0kPa,With urea,1.0kPa,,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Planococcaceae,D_5__Sporosarcina,D_6__Sporosarcina saromensis,JX240842.1.1483,01: g_Sporosarcina 
JX240842.1.1483,D0.15,1,D0.15,0,DNA,D0(10kPa-N),No_Urea_10kPa,Without urea,10kPa,,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Planococcaceae,D_5__Sporosarcina,D_6__Sporosarcina saromensis,JX240842.1.1483,01: g_Sporosarcina 
JX240842.1.1483,D0.14,1,D0.14,0,DNA,D0(10kPa-N),No_Urea_10kPa,Without urea,10kPa,,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Planococcaceae,D_5__Sporosarcina,D_6__Sporosarcina saromensis,JX240842.1.1483,01: g_Sporosarcina 
JX240842.1.1483,D0.13,1,D0.13,0,DNA,D0(10kPa-N),No_Urea_10kPa,Without urea,10kPa,,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Planococcaceae,D_5__Sporosarcina,D_6__Sporosarcina saromensis,JX240842.1.1483,01: g_Sporosarcina 
JX240842.1.1483,D0.09,0,D0.09,0,DNA,D0(1.0kPa-N),No_Urea_1.0kPa,Without urea,1.0kPa,,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Planococcaceae,D_5__Sporosarcina,D_6__Sporosarcina saromensis,JX240842.1.1483,01: g_Sporosarcina 
JX240842.1.1483,D0.11,0,D0.11,0,DNA,D0(1.0kPa-N),No_Urea_1.0kPa,Without urea,1.0kPa,,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Planococcaceae,D_5__Sporosarcina,D_6__Sporosarcina saromensis,JX240842.1.1483,01: g_Sporosarcina 
JX240842.1.1483,D0.10,0,D0.10,0,DNA,D0(1.0kPa-N),No_Urea_1.0kPa,Without urea,1.0kPa,,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Planococcaceae,D_5__Sporosarcina,D_6__Sporosarcina saromensis,JX240842.1.1483,01: g_Sporosarcina 
