OTU,Sample,Abundance,ID,Day,Type,Sites,Treatment,Treatment1,Treatment2,Group,Domain,Phylum,Class,Order,Family,Genus,Species,taxa_OTU,order_OTU
JX240842.1.1483,D7.02,546,D7.02,7,DNA,D7(1.0kPa+N),Urea_1.0kPa,With urea,1.0kPa,HM,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Planococcaceae,D_5__Sporosarcina,D_6__Sporosarcina saromensis,JX240842.1.1483,01: g_Sporosarcina 
JX240842.1.1483,D7.08,501,D7.08,7,DNA,D7(10kPa+N),Urea_10kPa,With urea,10kPa,LM,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Planococcaceae,D_5__Sporosarcina,D_6__Sporosarcina saromensis,JX240842.1.1483,01: g_Sporosarcina 
JX240842.1.1483,D7.03,375,D7.03,7,DNA,D7(1.0kPa+N),Urea_1.0kPa,With urea,1.0kPa,HM,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Planococcaceae,D_5__Sporosarcina,D_6__Sporosarcina saromensis,JX240842.1.1483,01: g_Sporosarcina 
JX240842.1.1483,D7.01,150,D7.01,7,DNA,D7(1.0kPa+N),Urea_1.0kPa,With urea,1.0kPa,,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Planococcaceae,D_5__Sporosarcina,D_6__Sporosarcina saromensis,JX240842.1.1483,01: g_Sporosarcina 
JX240842.1.1483,D7.15,2,D7.15,7,DNA,D7(10kPa-N),No_Urea_10kPa,Without urea,10kPa,LM,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Planococcaceae,D_5__Sporosarcina,D_6__Sporosarcina saromensis,JX240842.1.1483,01: g_Sporosarcina 
JX240842.1.1483,D7.11,1,D7.11,7,DNA,D7(1.0kPa-N),No_Urea_1.0kPa,Without urea,1.0kPa,HM,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Planococcaceae,D_5__Sporosarcina,D_6__Sporosarcina saromensis,JX240842.1.1483,01: g_Sporosarcina 
JX240842.1.1483,D7.14,0,D7.14,7,DNA,D7(10kPa-N),No_Urea_10kPa,Without urea,10kPa,LM,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Planococcaceae,D_5__Sporosarcina,D_6__Sporosarcina saromensis,JX240842.1.1483,01: g_Sporosarcina 
JX240842.1.1483,D7.09,0,D7.09,7,DNA,D7(1.0kPa-N),No_Urea_1.0kPa,Without urea,1.0kPa,HM,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Planococcaceae,D_5__Sporosarcina,D_6__Sporosarcina saromensis,JX240842.1.1483,01: g_Sporosarcina 
JX240842.1.1483,D7.13,0,D7.13,7,DNA,D7(10kPa-N),No_Urea_10kPa,Without urea,10kPa,LM,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Planococcaceae,D_5__Sporosarcina,D_6__Sporosarcina saromensis,JX240842.1.1483,01: g_Sporosarcina 
JX240842.1.1483,D7.10,0,D7.10,7,DNA,D7(1.0kPa-N),No_Urea_1.0kPa,Without urea,1.0kPa,HM,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Planococcaceae,D_5__Sporosarcina,D_6__Sporosarcina saromensis,JX240842.1.1483,01: g_Sporosarcina 
JX240842.1.1483,D14.03,147,D14.03,14,DNA,D14(1.0kPa+N),Urea_1.0kPa,With urea,1.0kPa,HM,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Planococcaceae,D_5__Sporosarcina,D_6__Sporosarcina saromensis,JX240842.1.1483,01: g_Sporosarcina 
JX240842.1.1483,D14.02,136,D14.02,14,DNA,D14(1.0kPa+N),Urea_1.0kPa,With urea,1.0kPa,HM,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Planococcaceae,D_5__Sporosarcina,D_6__Sporosarcina saromensis,JX240842.1.1483,01: g_Sporosarcina 
JX240842.1.1483,D14.04,127,D14.04,14,DNA,D14(1.0kPa+N),Urea_1.0kPa,With urea,1.0kPa,HM,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Planococcaceae,D_5__Sporosarcina,D_6__Sporosarcina saromensis,JX240842.1.1483,01: g_Sporosarcina 
JX240842.1.1483,D14.07,60,D14.07,14,DNA,D14(10kPa+N),Urea_10kPa,With urea,10kPa,LM,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Planococcaceae,D_5__Sporosarcina,D_6__Sporosarcina saromensis,JX240842.1.1483,01: g_Sporosarcina 
JX240842.1.1483,D14.08,33,D14.08,14,DNA,D14(10kPa+N),Urea_10kPa,With urea,10kPa,LM,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Planococcaceae,D_5__Sporosarcina,D_6__Sporosarcina saromensis,JX240842.1.1483,01: g_Sporosarcina 
JX240842.1.1483,D14.06,25,D14.06,14,DNA,D14(10kPa+N),Urea_10kPa,With urea,10kPa,LM,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Planococcaceae,D_5__Sporosarcina,D_6__Sporosarcina saromensis,JX240842.1.1483,01: g_Sporosarcina 
JX240842.1.1483,D21.01,90,D21.01,21,DNA,D21(1.0kPa+N),Urea_1.0kPa,With urea,1.0kPa,HM,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Planococcaceae,D_5__Sporosarcina,D_6__Sporosarcina saromensis,JX240842.1.1483,01: g_Sporosarcina 
JX240842.1.1483,D21.04,82,D21.04,21,DNA,D21(1.0kPa+N),Urea_1.0kPa,With urea,1.0kPa,HM,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Planococcaceae,D_5__Sporosarcina,D_6__Sporosarcina saromensis,JX240842.1.1483,01: g_Sporosarcina 
JX240842.1.1483,D21.08,18,D21.08,21,DNA,D21(10kPa+N),Urea_10kPa,With urea,10kPa,LM,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Planococcaceae,D_5__Sporosarcina,D_6__Sporosarcina saromensis,JX240842.1.1483,01: g_Sporosarcina 
JX240842.1.1483,D21.10,3,D21.10,21,DNA,D21(1.0kPa-N),No_Urea_1.0kPa,Without urea,1.0kPa,HM,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Planococcaceae,D_5__Sporosarcina,D_6__Sporosarcina saromensis,JX240842.1.1483,01: g_Sporosarcina 
JX240842.1.1483,D21.16,1,D21.16,21,DNA,D21(10kPa-N),No_Urea_10kPa,Without urea,10kPa,LM,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Planococcaceae,D_5__Sporosarcina,D_6__Sporosarcina saromensis,JX240842.1.1483,01: g_Sporosarcina 
JX240842.1.1483,D21.11,0,D21.11,21,DNA,D21(1.0kPa-N),No_Urea_1.0kPa,Without urea,1.0kPa,HM,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Planococcaceae,D_5__Sporosarcina,D_6__Sporosarcina saromensis,JX240842.1.1483,01: g_Sporosarcina 
JX240842.1.1483,D21.09,0,D21.09,21,DNA,D21(1.0kPa-N),No_Urea_1.0kPa,Without urea,1.0kPa,HM,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Planococcaceae,D_5__Sporosarcina,D_6__Sporosarcina saromensis,JX240842.1.1483,01: g_Sporosarcina 
JX240842.1.1483,D35.03,66,D35.03,35,DNA,D35(1.0kPa+N),Urea_1.0kPa,With urea,1.0kPa,HM,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Planococcaceae,D_5__Sporosarcina,D_6__Sporosarcina saromensis,JX240842.1.1483,01: g_Sporosarcina 
JX240842.1.1483,D35.02,41,D35.02,35,DNA,D35(1.0kPa+N),Urea_1.0kPa,With urea,1.0kPa,HM,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Planococcaceae,D_5__Sporosarcina,D_6__Sporosarcina saromensis,JX240842.1.1483,01: g_Sporosarcina 
JX240842.1.1483,D35.01,40,D35.01,35,DNA,D35(1.0kPa+N),Urea_1.0kPa,With urea,1.0kPa,HM,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Planococcaceae,D_5__Sporosarcina,D_6__Sporosarcina saromensis,JX240842.1.1483,01: g_Sporosarcina 
JX240842.1.1483,D35.06,13,D35.06,35,DNA,D35(10kPa+N),Urea_10kPa,With urea,10kPa,LM,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Planococcaceae,D_5__Sporosarcina,D_6__Sporosarcina saromensis,JX240842.1.1483,01: g_Sporosarcina 
JX240842.1.1483,D35.05,9,D35.05,35,DNA,D35(10kPa+N),Urea_10kPa,With urea,10kPa,LM,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Planococcaceae,D_5__Sporosarcina,D_6__Sporosarcina saromensis,JX240842.1.1483,01: g_Sporosarcina 
JX240842.1.1483,D35.07,8,D35.07,35,DNA,D35(10kPa+N),Urea_10kPa,With urea,10kPa,LM,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Planococcaceae,D_5__Sporosarcina,D_6__Sporosarcina saromensis,JX240842.1.1483,01: g_Sporosarcina 
JX240842.1.1483,D63.07,22,D63.07,63,DNA,D63(10kPa+N),Urea_10kPa,With urea,10kPa,LM,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Planococcaceae,D_5__Sporosarcina,D_6__Sporosarcina saromensis,JX240842.1.1483,01: g_Sporosarcina 
JX240842.1.1483,D63.03,18,D63.03,63,DNA,D63(1.0kPa+N),Urea_1.0kPa,With urea,1.0kPa,HM,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Planococcaceae,D_5__Sporosarcina,D_6__Sporosarcina saromensis,JX240842.1.1483,01: g_Sporosarcina 
JX240842.1.1483,D63.06,10,D63.06,63,DNA,D63(10kPa+N),Urea_10kPa,With urea,10kPa,LM,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Planococcaceae,D_5__Sporosarcina,D_6__Sporosarcina saromensis,JX240842.1.1483,01: g_Sporosarcina 
JX240842.1.1483,D63.05,10,D63.05,63,DNA,D63(10kPa+N),Urea_10kPa,With urea,10kPa,LM,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Planococcaceae,D_5__Sporosarcina,D_6__Sporosarcina saromensis,JX240842.1.1483,01: g_Sporosarcina 
JX240842.1.1483,D63.01,6,D63.01,63,DNA,D63(1.0kPa+N),Urea_1.0kPa,With urea,1.0kPa,HM,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Planococcaceae,D_5__Sporosarcina,D_6__Sporosarcina saromensis,JX240842.1.1483,01: g_Sporosarcina 
JX240842.1.1483,D63.02,3,D63.02,63,DNA,D63(1.0kPa+N),Urea_1.0kPa,With urea,1.0kPa,HM,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Planococcaceae,D_5__Sporosarcina,D_6__Sporosarcina saromensis,JX240842.1.1483,01: g_Sporosarcina 
JX240842.1.1483,D63.14,2,D63.14,63,DNA,D63(10kPa-N),No_Urea_10kPa,Without urea,10kPa,LM,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Planococcaceae,D_5__Sporosarcina,D_6__Sporosarcina saromensis,JX240842.1.1483,01: g_Sporosarcina 
JX240842.1.1483,D63.09,2,D63.09,63,DNA,D63(1.0kPa-N),No_Urea_1.0kPa,Without urea,1.0kPa,HM,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Planococcaceae,D_5__Sporosarcina,D_6__Sporosarcina saromensis,JX240842.1.1483,01: g_Sporosarcina 
JX240842.1.1483,D63.13,1,D63.13,63,DNA,D63(10kPa-N),No_Urea_10kPa,Without urea,10kPa,LM,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Planococcaceae,D_5__Sporosarcina,D_6__Sporosarcina saromensis,JX240842.1.1483,01: g_Sporosarcina 
JX240842.1.1483,D63.11,1,D63.11,63,DNA,D63(1.0kPa-N),No_Urea_1.0kPa,Without urea,1.0kPa,HM,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Planococcaceae,D_5__Sporosarcina,D_6__Sporosarcina saromensis,JX240842.1.1483,01: g_Sporosarcina 
JX240842.1.1483,D63.15,0,D63.15,63,DNA,D63(10kPa-N),No_Urea_10kPa,Without urea,10kPa,LM,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Planococcaceae,D_5__Sporosarcina,D_6__Sporosarcina saromensis,JX240842.1.1483,01: g_Sporosarcina 
JX240842.1.1483,D63.10,0,D63.10,63,DNA,D63(1.0kPa-N),No_Urea_1.0kPa,Without urea,1.0kPa,HM,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales,D_4__Planococcaceae,D_5__Sporosarcina,D_6__Sporosarcina saromensis,JX240842.1.1483,01: g_Sporosarcina 
EU132857.1.1296,D0.02,0,D0.02,0,DNA,D0(1.0kPa+N),Urea_1.0kPa,With urea,1.0kPa,,D_0__Bacteria,D_1__Actinobacteria,D_2__Actinobacteria,D_3__Micromonosporales,D_4__Micromonosporaceae,D_5__Actinoplanes,D_6__uncultured bacterium,EU132857.1.1296,02: g_Actinoplanes
EU132857.1.1296,D0.09,0,D0.09,0,DNA,D0(1.0kPa-N),No_Urea_1.0kPa,Without urea,1.0kPa,,D_0__Bacteria,D_1__Actinobacteria,D_2__Actinobacteria,D_3__Micromonosporales,D_4__Micromonosporaceae,D_5__Actinoplanes,D_6__uncultured bacterium,EU132857.1.1296,02: g_Actinoplanes
EU132857.1.1296,D0.10,0,D0.10,0,DNA,D0(1.0kPa-N),No_Urea_1.0kPa,Without urea,1.0kPa,,D_0__Bacteria,D_1__Actinobacteria,D_2__Actinobacteria,D_3__Micromonosporales,D_4__Micromonosporaceae,D_5__Actinoplanes,D_6__uncultured bacterium,EU132857.1.1296,02: g_Actinoplanes
EU132857.1.1296,D0.03,0,D0.03,0,DNA,D0(1.0kPa+N),Urea_1.0kPa,With urea,1.0kPa,,D_0__Bacteria,D_1__Actinobacteria,D_2__Actinobacteria,D_3__Micromonosporales,D_4__Micromonosporaceae,D_5__Actinoplanes,D_6__uncultured bacterium,EU132857.1.1296,02: g_Actinoplanes
EU132857.1.1296,D0.15,0,D0.15,0,DNA,D0(10kPa-N),No_Urea_10kPa,Without urea,10kPa,,D_0__Bacteria,D_1__Actinobacteria,D_2__Actinobacteria,D_3__Micromonosporales,D_4__Micromonosporaceae,D_5__Actinoplanes,D_6__uncultured bacterium,EU132857.1.1296,02: g_Actinoplanes
EU132857.1.1296,D0.13,0,D0.13,0,DNA,D0(10kPa-N),No_Urea_10kPa,Without urea,10kPa,,D_0__Bacteria,D_1__Actinobacteria,D_2__Actinobacteria,D_3__Micromonosporales,D_4__Micromonosporaceae,D_5__Actinoplanes,D_6__uncultured bacterium,EU132857.1.1296,02: g_Actinoplanes
EU132857.1.1296,D0.08,0,D0.08,0,DNA,D0(10kPa+N),Urea_10kPa,With urea,10kPa,,D_0__Bacteria,D_1__Actinobacteria,D_2__Actinobacteria,D_3__Micromonosporales,D_4__Micromonosporaceae,D_5__Actinoplanes,D_6__uncultured bacterium,EU132857.1.1296,02: g_Actinoplanes
EU132857.1.1296,D0.11,0,D0.11,0,DNA,D0(1.0kPa-N),No_Urea_1.0kPa,Without urea,1.0kPa,,D_0__Bacteria,D_1__Actinobacteria,D_2__Actinobacteria,D_3__Micromonosporales,D_4__Micromonosporaceae,D_5__Actinoplanes,D_6__uncultured bacterium,EU132857.1.1296,02: g_Actinoplanes
EU132857.1.1296,D0.01,0,D0.01,0,DNA,D0(1.0kPa+N),Urea_1.0kPa,With urea,1.0kPa,,D_0__Bacteria,D_1__Actinobacteria,D_2__Actinobacteria,D_3__Micromonosporales,D_4__Micromonosporaceae,D_5__Actinoplanes,D_6__uncultured bacterium,EU132857.1.1296,02: g_Actinoplanes
EU132857.1.1296,D0.07,0,D0.07,0,DNA,D0(10kPa+N),Urea_10kPa,With urea,10kPa,,D_0__Bacteria,D_1__Actinobacteria,D_2__Actinobacteria,D_3__Micromonosporales,D_4__Micromonosporaceae,D_5__Actinoplanes,D_6__uncultured bacterium,EU132857.1.1296,02: g_Actinoplanes
EU132857.1.1296,D0.14,0,D0.14,0,DNA,D0(10kPa-N),No_Urea_10kPa,Without urea,10kPa,,D_0__Bacteria,D_1__Actinobacteria,D_2__Actinobacteria,D_3__Micromonosporales,D_4__Micromonosporaceae,D_5__Actinoplanes,D_6__uncultured bacterium,EU132857.1.1296,02: g_Actinoplanes
EU132857.1.1296,D0.05,0,D0.05,0,DNA,D0(10kPa+N),Urea_10kPa,With urea,10kPa,,D_0__Bacteria,D_1__Actinobacteria,D_2__Actinobacteria,D_3__Micromonosporales,D_4__Micromonosporaceae,D_5__Actinoplanes,D_6__uncultured bacterium,EU132857.1.1296,02: g_Actinoplanes
EU132857.1.1296,D7.08,41,D7.08,7,DNA,D7(10kPa+N),Urea_10kPa,With urea,10kPa,LM,D_0__Bacteria,D_1__Actinobacteria,D_2__Actinobacteria,D_3__Micromonosporales,D_4__Micromonosporaceae,D_5__Actinoplanes,D_6__uncultured bacterium,EU132857.1.1296,02: g_Actinoplanes
EU132857.1.1296,D7.03,6,D7.03,7,DNA,D7(1.0kPa+N),Urea_1.0kPa,With urea,1.0kPa,HM,D_0__Bacteria,D_1__Actinobacteria,D_2__Actinobacteria,D_3__Micromonosporales,D_4__Micromonosporaceae,D_5__Actinoplanes,D_6__uncultured bacterium,EU132857.1.1296,02: g_Actinoplanes
EU132857.1.1296,D7.02,2,D7.02,7,DNA,D7(1.0kPa+N),Urea_1.0kPa,With urea,1.0kPa,HM,D_0__Bacteria,D_1__Actinobacteria,D_2__Actinobacteria,D_3__Micromonosporales,D_4__Micromonosporaceae,D_5__Actinoplanes,D_6__uncultured bacterium,EU132857.1.1296,02: g_Actinoplanes
EU132857.1.1296,D7.01,1,D7.01,7,DNA,D7(1.0kPa+N),Urea_1.0kPa,With urea,1.0kPa,,D_0__Bacteria,D_1__Actinobacteria,D_2__Actinobacteria,D_3__Micromonosporales,D_4__Micromonosporaceae,D_5__Actinoplanes,D_6__uncultured bacterium,EU132857.1.1296,02: g_Actinoplanes
EU132857.1.1296,D7.09,0,D7.09,7,DNA,D7(1.0kPa-N),No_Urea_1.0kPa,Without urea,1.0kPa,HM,D_0__Bacteria,D_1__Actinobacteria,D_2__Actinobacteria,D_3__Micromonosporales,D_4__Micromonosporaceae,D_5__Actinoplanes,D_6__uncultured bacterium,EU132857.1.1296,02: g_Actinoplanes
EU132857.1.1296,D7.10,0,D7.10,7,DNA,D7(1.0kPa-N),No_Urea_1.0kPa,Without urea,1.0kPa,HM,D_0__Bacteria,D_1__Actinobacteria,D_2__Actinobacteria,D_3__Micromonosporales,D_4__Micromonosporaceae,D_5__Actinoplanes,D_6__uncultured bacterium,EU132857.1.1296,02: g_Actinoplanes
EU132857.1.1296,D7.14,0,D7.14,7,DNA,D7(10kPa-N),No_Urea_10kPa,Without urea,10kPa,LM,D_0__Bacteria,D_1__Actinobacteria,D_2__Actinobacteria,D_3__Micromonosporales,D_4__Micromonosporaceae,D_5__Actinoplanes,D_6__uncultured bacterium,EU132857.1.1296,02: g_Actinoplanes
EU132857.1.1296,D7.15,0,D7.15,7,DNA,D7(10kPa-N),No_Urea_10kPa,Without urea,10kPa,LM,D_0__Bacteria,D_1__Actinobacteria,D_2__Actinobacteria,D_3__Micromonosporales,D_4__Micromonosporaceae,D_5__Actinoplanes,D_6__uncultured bacterium,EU132857.1.1296,02: g_Actinoplanes
EU132857.1.1296,D7.13,0,D7.13,7,DNA,D7(10kPa-N),No_Urea_10kPa,Without urea,10kPa,LM,D_0__Bacteria,D_1__Actinobacteria,D_2__Actinobacteria,D_3__Micromonosporales,D_4__Micromonosporaceae,D_5__Actinoplanes,D_6__uncultured bacterium,EU132857.1.1296,02: g_Actinoplanes
EU132857.1.1296,D7.11,0,D7.11,7,DNA,D7(1.0kPa-N),No_Urea_1.0kPa,Without urea,1.0kPa,HM,D_0__Bacteria,D_1__Actinobacteria,D_2__Actinobacteria,D_3__Micromonosporales,D_4__Micromonosporaceae,D_5__Actinoplanes,D_6__uncultured bacterium,EU132857.1.1296,02: g_Actinoplanes
EU132857.1.1296,D14.08,605,D14.08,14,DNA,D14(10kPa+N),Urea_10kPa,With urea,10kPa,LM,D_0__Bacteria,D_1__Actinobacteria,D_2__Actinobacteria,D_3__Micromonosporales,D_4__Micromonosporaceae,D_5__Actinoplanes,D_6__uncultured bacterium,EU132857.1.1296,02: g_Actinoplanes
EU132857.1.1296,D14.06,603,D14.06,14,DNA,D14(10kPa+N),Urea_10kPa,With urea,10kPa,LM,D_0__Bacteria,D_1__Actinobacteria,D_2__Actinobacteria,D_3__Micromonosporales,D_4__Micromonosporaceae,D_5__Actinoplanes,D_6__uncultured bacterium,EU132857.1.1296,02: g_Actinoplanes
EU132857.1.1296,D14.07,391,D14.07,14,DNA,D14(10kPa+N),Urea_10kPa,With urea,10kPa,LM,D_0__Bacteria,D_1__Actinobacteria,D_2__Actinobacteria,D_3__Micromonosporales,D_4__Micromonosporaceae,D_5__Actinoplanes,D_6__uncultured bacterium,EU132857.1.1296,02: g_Actinoplanes
EU132857.1.1296,D14.04,12,D14.04,14,DNA,D14(1.0kPa+N),Urea_1.0kPa,With urea,1.0kPa,HM,D_0__Bacteria,D_1__Actinobacteria,D_2__Actinobacteria,D_3__Micromonosporales,D_4__Micromonosporaceae,D_5__Actinoplanes,D_6__uncultured bacterium,EU132857.1.1296,02: g_Actinoplanes
EU132857.1.1296,D14.03,5,D14.03,14,DNA,D14(1.0kPa+N),Urea_1.0kPa,With urea,1.0kPa,HM,D_0__Bacteria,D_1__Actinobacteria,D_2__Actinobacteria,D_3__Micromonosporales,D_4__Micromonosporaceae,D_5__Actinoplanes,D_6__uncultured bacterium,EU132857.1.1296,02: g_Actinoplanes
EU132857.1.1296,D14.02,2,D14.02,14,DNA,D14(1.0kPa+N),Urea_1.0kPa,With urea,1.0kPa,HM,D_0__Bacteria,D_1__Actinobacteria,D_2__Actinobacteria,D_3__Micromonosporales,D_4__Micromonosporaceae,D_5__Actinoplanes,D_6__uncultured bacterium,EU132857.1.1296,02: g_Actinoplanes
EU132857.1.1296,D21.08,612,D21.08,21,DNA,D21(10kPa+N),Urea_10kPa,With urea,10kPa,LM,D_0__Bacteria,D_1__Actinobacteria,D_2__Actinobacteria,D_3__Micromonosporales,D_4__Micromonosporaceae,D_5__Actinoplanes,D_6__uncultured bacterium,EU132857.1.1296,02: g_Actinoplanes
