OTU,Sample,Abundance,ID,Type,Sites,Day,Treatment,Treatment1,Treatment2,sample_Order,Domain,Phylum,Proteobacteria
HM061888.1.1473,D35.06,260,D35.06,16S rDNA,14.D35_10kPa_N,35,Urea_10kPa,1. urea,LM,35.d,Bacteria,p_Acidobacteria,2636
HM061888.1.1473,D35.07,379,D35.07,16S rDNA,14.D35_10kPa_N,35,Urea_10kPa,1. urea,LM,36.d,Bacteria,p_Acidobacteria,2559
HM061888.1.1473,D63.05,457,D63.05,16S rDNA,15.D63_10kPa_N,63,Urea_10kPa,1. urea,LM,37.d,Bacteria,p_Acidobacteria,2781
HM061888.1.1473,D63.06,355,D63.06,16S rDNA,15.D63_10kPa_N,63,Urea_10kPa,1. urea,LM,38.d,Bacteria,p_Acidobacteria,2855
HM061888.1.1473,D63.07,265,D63.07,16S rDNA,15.D63_10kPa_N,63,Urea_10kPa,1. urea,LM,39.d,Bacteria,p_Acidobacteria,3360
HM061888.1.1473,D0.01,1204,D0.01,16S rDNA,16.D0_1kPa_N,0,Urea_1.0kPa,1. urea,HM,40.d,Bacteria,p_Acidobacteria,2056
HM061888.1.1473,D0.02,1197,D0.02,16S rDNA,16.D0_1kPa_N,0,Urea_1.0kPa,1. urea,HM,41.d,Bacteria,p_Acidobacteria,2328
HM061888.1.1473,D0.03,1326,D0.03,16S rDNA,16.D0_1kPa_N,0,Urea_1.0kPa,1. urea,HM,42.d,Bacteria,p_Acidobacteria,2227
HM061888.1.1473,D7.01,730,D7.01,16S rDNA,17.D7_1kPa_N,7,Urea_1.0kPa,1. urea,HM,43.d,Bacteria,p_Acidobacteria,2413
HM061888.1.1473,D7.02,563,D7.02,16S rDNA,17.D7_1kPa_N,7,Urea_1.0kPa,1. urea,HM,44.d,Bacteria,p_Acidobacteria,2084
HM061888.1.1473,D7.03,627,D7.03,16S rDNA,17.D7_1kPa_N,7,Urea_1.0kPa,1. urea,HM,45.d,Bacteria,p_Acidobacteria,1978
HM061888.1.1473,D14.02,571,D14.02,16S rDNA,18.D14_1kPa_N,14,Urea_1.0kPa,1. urea,HM,46.d,Bacteria,p_Acidobacteria,2736
HM061888.1.1473,D14.03,746,D14.03,16S rDNA,18.D14_1kPa_N,14,Urea_1.0kPa,1. urea,HM,47.d,Bacteria,p_Acidobacteria,2211
HM061888.1.1473,D14.04,482,D14.04,16S rDNA,18.D14_1kPa_N,14,Urea_1.0kPa,1. urea,HM,48.d,Bacteria,p_Acidobacteria,2779
HM061888.1.1473,D21.01,449,D21.01,16S rDNA,19.D21_1kPa_N,21,Urea_1.0kPa,1. urea,HM,49.d,Bacteria,p_Acidobacteria,2599
HM061888.1.1473,D21.04,716,D21.04,16S rDNA,19.D21_1kPa_N,21,Urea_1.0kPa,1. urea,HM,50.d,Bacteria,p_Acidobacteria,2932
HM061888.1.1473,D35.01,244,D35.01,16S rDNA,20.D35_1kPa_N,35,Urea_1.0kPa,1. urea,HM,52.d,Bacteria,p_Acidobacteria,2969
HM061888.1.1473,D35.02,241,D35.02,16S rDNA,20.D35_1kPa_N,35,Urea_1.0kPa,1. urea,HM,53.d,Bacteria,p_Acidobacteria,3043
HM061888.1.1473,D35.03,318,D35.03,16S rDNA,20.D35_1kPa_N,35,Urea_1.0kPa,1. urea,HM,54.d,Bacteria,p_Acidobacteria,2579
HM061888.1.1473,D63.01,467,D63.01,16S rDNA,21.D63_1kPa_N,63,Urea_1.0kPa,1. urea,HM,55.d,Bacteria,p_Acidobacteria,2847
HM061888.1.1473,D63.02,414,D63.02,16S rDNA,21.D63_1kPa_N,63,Urea_1.0kPa,1. urea,HM,56.d,Bacteria,p_Acidobacteria,3495
,D0.13,250,D0.13,16S rDNA,02.D0_10kPa ,0,No_Urea_10kPa,2. No urea,LM,04.d,Bacteria,p_Actinobacteria,
,D0.14,298,D0.14,16S rDNA,02.D0_10kPa ,0,No_Urea_10kPa,2. No urea,LM,05.d,Bacteria,p_Actinobacteria,
,D0.15,224,D0.15,16S rDNA,02.D0_10kPa ,0,No_Urea_10kPa,2. No urea,LM,06.d,Bacteria,p_Actinobacteria,
,D7.13,324,D7.13,16S rDNA,03.D7_10kPa ,7,No_Urea_10kPa,2. No urea,LM,07.d,Bacteria,p_Actinobacteria,
,D7.14,227,D7.14,16S rDNA,03.D7_10kPa ,7,No_Urea_10kPa,2. No urea,LM,08.d,Bacteria,p_Actinobacteria,
,D7.15,276,D7.15,16S rDNA,03.D7_10kPa ,7,No_Urea_10kPa,2. No urea,LM,09.d,Bacteria,p_Actinobacteria,
,D21.16,260,D21.16,16S rDNA,04.D21_10kPa ,21,No_Urea_10kPa,2. No urea,LM,10.d,Bacteria,p_Actinobacteria,
,D63.13,300,D63.13,16S rDNA,05.D63_10kPa ,63,No_Urea_10kPa,2. No urea,LM,11.d,Bacteria,p_Actinobacteria,
,D63.14,225,D63.14,16S rDNA,05.D63_10kPa ,63,No_Urea_10kPa,2. No urea,LM,12.d,Bacteria,p_Actinobacteria,
,D63.15,349,D63.15,16S rDNA,05.D63_10kPa ,63,No_Urea_10kPa,2. No urea,LM,13.d,Bacteria,p_Actinobacteria,
,D0.09,239,D0.09,16S rDNA,06.D0_1kPa ,0,No_Urea_1.0kPa,2. No urea,HM,14.d,Bacteria,p_Actinobacteria,
,D0.10,287,D0.10,16S rDNA,06.D0_1kPa ,0,No_Urea_1.0kPa,2. No urea,HM,15.d,Bacteria,p_Actinobacteria,
,D0.11,331,D0.11,16S rDNA,06.D0_1kPa ,0,No_Urea_1.0kPa,2. No urea,HM,16.d,Bacteria,p_Actinobacteria,
,D7.09,234,D7.09,16S rDNA,07.D7_1kPa ,7,No_Urea_1.0kPa,2. No urea,HM,17.d,Bacteria,p_Actinobacteria,
,D7.10,319,D7.10,16S rDNA,07.D7_1kPa ,7,No_Urea_1.0kPa,2. No urea,HM,18.d,Bacteria,p_Actinobacteria,
,D7.11,430,D7.11,16S rDNA,07.D7_1kPa ,7,No_Urea_1.0kPa,2. No urea,HM,19.d,Bacteria,p_Actinobacteria,
,D21.09,297,D21.09,16S rDNA,08.D21_1kPa ,21,No_Urea_1.0kPa,2. No urea,HM,20.d,Bacteria,p_Actinobacteria,
,D21.10,287,D21.10,16S rDNA,08.D21_1kPa ,21,No_Urea_1.0kPa,2. No urea,HM,21.d,Bacteria,p_Actinobacteria,
,D21.11,231,D21.11,16S rDNA,08.D21_1kPa ,21,No_Urea_1.0kPa,2. No urea,HM,22.d,Bacteria,p_Actinobacteria,
,D63.09,272,D63.09,16S rDNA,09.D63_1kPa ,63,No_Urea_1.0kPa,2. No urea,HM,23.d,Bacteria,p_Actinobacteria,
,D63.10,288,D63.10,16S rDNA,09.D63_1kPa ,63,No_Urea_1.0kPa,2. No urea,HM,24.d,Bacteria,p_Actinobacteria,
,D63.11,268,D63.11,16S rDNA,09.D63_1kPa ,63,No_Urea_1.0kPa,2. No urea,HM,25.d,Bacteria,p_Actinobacteria,
